,Timestamp,Id,SequenceId,SequenceSet,VectorGazeX,VectorGazeY,VectorGazeZ,GazeX,GazeY
5189,638345129044010806,1451.0,1.0,1.0,-0.2060662,-0.1481583,0.967257,2227.2517271339893,2240.7914847135544
5190,638345129045095506,1451.0,1.0,1.0,-0.1632764,-0.1205205,0.9791914,2387.713484466076,2102.6025116443634
5191,638345129045534047,1451.0,1.0,1.0,-0.183405,-0.1159447,0.976176,2312.2312612831597,2079.723492264748
5192,638345129046014159,1451.0,1.0,1.0,-0.1803553,-0.1201691,0.9762332,2323.6676417291164,2100.845515727997
5193,638345129047058885,1451.0,1.0,1.0,-0.1733554,-0.06527992,0.9826934,2349.917247891426,1826.3996168971064
5194,638345129047554346,1451.0,1.0,1.0,-0.1835086,-0.05256551,0.9816116,2311.842732131481,1762.827556580305
5195,638345129048014525,1451.0,1.0,1.0,-0.1793084,-0.05102592,0.9824688,2327.5935016572475,1755.129598081112
5196,638345129049063289,1451.0,1.0,1.0,-0.1765928,-0.0531359,0.9828488,2337.777011096477,1765.679508447647
5197,638345129049535364,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5198,638345129050015751,1451.0,1.0,1.0,0.06388186,-0.1010375,0.9928296,3239.556971937418,2005.187511444092
5199,638345129051059717,1451.0,1.0,1.0,0.04993088,-0.1049852,0.9932196,3187.2408064082265,2024.9259993433952
5200,638345129051565471,1451.0,1.0,1.0,0.0474828,-0.1148174,0.9922512,3178.060499019921,2074.087016284466
5201,638345129052019171,1451.0,1.0,1.0,0.04577903,-0.09387594,0.9945308,3171.6713653877378,1969.379685819149
5202,638345129052562299,1451.0,1.0,1.0,0.1045566,-0.08401173,0.9909642,3392.0872416347265,1920.0586676597595
5203,638345129053026302,1451.0,1.0,1.0,0.117607,-0.08404987,0.9894969,3441.0262405872345,1920.2493652701376
5204,638345129054067380,1451.0,1.0,1.0,0.149841,-0.1434385,0.97825,3561.9037337601185,2217.192515730858
5205,638345129054563200,1451.0,1.0,1.0,0.1761577,-0.1266939,0.9761747,3660.591367632151,2133.469521999359
5206,638345129055022543,1451.0,1.0,1.0,0.1732218,-0.1263608,0.9767431,3649.5817378163338,2131.804019212723
5207,638345129055570229,1451.0,1.0,1.0,0.1781753,-0.1255703,0.9759537,3668.157376348972,2127.8514862060547
5208,638345129056022704,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5209,638345129057067105,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5210,638345129057562914,1451.0,1.0,1.0,0.1740273,-0.07986051,0.9814972,3652.602352201938,1899.3025422096248
5211,638345129058043632,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5212,638345129059067018,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5213,638345129059589876,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5214,638345129060466137,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5215,638345129061570298,1451.0,1.0,1.0,0.08716746,-0.1124818,0.9898232,3326.87796279788,2062.4090135097504
5216,638345129062033775,1451.0,1.0,1.0,0.1071227,-0.114386,0.987644,3401.710113510489,2071.9299986958504
5217,638345129063074428,1451.0,1.0,1.0,0.1127615,-0.1148445,0.9869627,3422.8556156158447,2074.222505092621
5218,638345129063590012,1451.0,1.0,1.0,0.1025002,-0.1188222,0.9876108,3384.375751018524,2094.111010432244
5219,638345129064051253,1451.0,1.0,1.0,0.09305875,-0.1113926,0.9894098,3348.9703126251698,2056.963011622429
5220,638345129064894720,1451.0,1.0,1.0,0.09991674,-0.1006301,0.9898941,3374.687779694796,2003.1504854559896
5221,638345129065352872,1451.0,1.0,1.0,0.1325654,-0.08723522,0.9873279,3497.120227664709,1936.176098883152
5222,638345129066392383,1451.0,1.0,1.0,0.1296529,-0.09427023,0.9870681,3486.1983843147755,1971.351146697998
5223,638345129066897562,1451.0,1.0,1.0,0.1545868,-0.06934948,0.9855424,3579.7005258500576,1846.747413277626
5224,638345129067362087,1451.0,1.0,1.0,0.13022,-0.09120816,0.987281,3488.324984908104,1956.0407996177676
5225,638345129068399925,1451.0,1.0,1.0,0.1366178,-0.09331736,0.9862188,3512.316729873419,1966.586798429489
5226,638345129068895134,1451.0,1.0,1.0,0.1344956,-0.08186135,0.9875271,3504.358503967524,1909.3067348003387
5227,638345129069357881,1451.0,1.0,1.0,0.1551534,-0.08158995,0.9845154,3581.825226545334,1907.949760556221
5228,638345129070406336,1451.0,1.0,1.0,0.1578011,-0.06750268,0.9851609,3591.754149645567,1837.5133872032168
5229,638345129070896789,1451.0,1.0,1.0,0.161872,-0.06881633,0.9844094,3607.019998133183,1844.0816327929497
5230,638345129071377526,1451.0,1.0,1.0,0.1454223,-0.07380667,0.9866129,3545.333605259657,1869.033366441727
5231,638345129072401191,1451.0,1.0,1.0,0.3588348,-0.09853054,0.9281861,4345.630511641502,1992.65269190073
5232,638345129072903228,1451.0,1.0,1.0,0.4023206,-0.108917,0.9089969,4508.702225983143,2044.5849895477293
5233,638345129073360503,1451.0,1.0,1.0,0.4149607,-0.1148182,0.9025655,4556.10267072916,2074.091002345085
5234,638345129074399396,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5235,638345129074903593,1451.0,1.0,1.0,0.4281237,-0.1068257,0.8973842,4605.463922023773,2034.12850946188
5236,638345129075388549,1451.0,1.0,1.0,0.4187803,-0.1119889,0.9011557,4570.4261139035225,2059.9445104599
5237,638345129076431233,1451.0,1.0,1.0,0.4132516,-0.1260499,0.9018506,4549.6935322880745,2130.2495300769806
5238,638345129076921923,1451.0,1.0,1.0,0.409637,-0.1096982,0.905629,4536.138765513897,2048.49099367857
